Cycle,PSUID,Cluster,Plot,PlotID,SPCODE,Cover,Comments
C1,P001,27,E,P00127_E,RHYINU,1,
C1,P001,27,E,P00127_E,UTRPUR,1,
C1,P001,28,C,P00128_C,CLAJAM,10,
C1,P001,28,C,P00128_C,ELESPP,1,
C1,P001,28,E,P00128_E,ELESPP,10,
C1,P001,28,E,P00128_E,RHYINU,1,
C1,P001,28,E,P00128_E,UTRPUR,2.5,
C1,P001,29,C,P00129_C,ELESPP,10,
C1,P001,29,C,P00129_C,NYMODO,1,
C1,P001,29,C,P00129_C,UTRPUR,2.5,
C1,P001,29,E,P00129_E,ELESPP,24.5,
C1,P001,29,E,P00129_E,UTRPUR,1,
